pre_value_tier,exposures,households,observed_responses,observed_response_rate,mean_pre_sales_per_30d,mean_pre_baskets_per_30d,mean_pre_recency_days,response_index_vs_all,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
Lower pre-campaign value,2403,1093,187,0.077819392426134,123.47855813105228,3.994414505033828,13.346650020807324,0.6309585833606006,0.06556325759598441,0.08898427041499331
Middle pre-campaign value,2402,822,302,0.1257285595337219,216.4180214790252,6.440004104487109,3.976269775187344,1.019405463576004,0.10822075831229615,0.14226058781526627
Higher pre-campaign value,2403,485,400,0.16645859342488556,400.0999972271417,13.364091196239542,2.200582605076987,1.3496440285788247,0.1450332283741148,0.18965227399709464
