model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
Random Forest,0.8692748091603053,0.44545454545454544,0.392,0.41702127659574467,0.8261440953412785,0.4280801148973008,0.09916505585087372
Logistic Regression,0.7452290076335878,0.2746031746031746,0.692,0.3931818181818182,0.8088461538461538,0.37756237862353065,0.18147971725375056
