segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
Dormant / lapsed households,PASTRY,5362.02,1183,367,240823.21,11154,509,2.2265378822913293,10.606060606060606,72.10216110019645,1.5108992755245776,1.473650771007409
High-basket-value established shoppers,NUTRITION,59268.450000000004,8109,721,3470600.52,83753,881,1.7077289552183899,9.68204124031378,81.83881952326901,1.2121591217303929,1.4088323262217888
High-value loyal shoppers,KIOSK-GAS,304373.84,12540,352,3199080.0100000002,128723,440,9.514417865403747,9.741848776054008,80.0,6.754279564444494,1.4086502897346773
Promotion-driven routine shoppers,MEAT-PCKGD,74121.82,11415,658,1146940.06,51909,670,6.462571374479674,21.99040628792695,98.2089552238806,5.118704892487118,1.2625403320212873
